genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
connecticut hardcore,0.000815431,0.43525,132865.9375,0.91825,0.089894456,0.14390625,-5.5410625,0.08961875,131.1543125,0.4220625,38.5625,11,1
finnish metal,0.000823208,0.375916667,256556.5556,0.913888889,0.203056028,0.19565,-3.876555556,0.066066667,134.0555556,0.429177778,52.47222222,3,1
tennessee metal,0.000891333,0.372,264013.3333,0.994333333,0.040619667,0.178,-4.621,0.192666667,122.18,0.105966667,46,11,1
german thrash metal,0.000926416,0.25975,297932.3056,0.911194444,0.195628,0.146102778,-9.659444444,0.116702778,113.5178611,0.237377778,37.97222222,7,1
progressive groove metal,0.000949495,0.331590097,316495.3352,0.95036756,0.25945069,0.172911621,-5.103470779,0.107412419,122.8843544,0.240970536,48.16314935,7,1
asbury park indie,0.000969,0.557,226853,0.815,0.00188,0.0932,-5.402,0.0328,88.929,0.445,50,0,1
autonomous black metal,0.00102099,0.261716667,315688.9333,0.808783333,0.778595,0.300613333,-8.7633,0.065013333,116.2769833,0.236951667,38.23333333,11,1
danish rock,0.001072622,0.472695652,285981.2609,0.885369565,0.132670257,0.175530435,-8.112347826,0.059271739,112.9293696,0.334,48,7,1
black metal,0.001108855,0.257109028,280846.7542,0.919316667,0.560598387,0.202432361,-6.945313194,0.092009583,133.0630792,0.214253889,39.55972222,11,1
canadian metalcore,0.00115,0.313,219587,0.961,0,0.12,-4.51,0.193,138.721,0.21,45,5,1
virginia punk,0.001150756,0.371404762,181657.3571,0.901,0.063654176,0.30092381,-5.791119048,0.107183333,120.9807381,0.548666667,40.45238095,11,1
korean indie rock,0.00129,0.583,276973,0.84,0.575,0.0906,-4.964,0.034,137.977,0.44,47,4,0
australian metal,0.00132,0.392,215227,0.966,0.0473,0.239,-3.863,0.172,139.83,0.0764,55,9,1
ambient black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,42.66666667,4,1
atmospheric black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,42.66666667,4,1
dungeon synth,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,42.66666667,4,1
new wave of thrash metal,0.0013255,0.277,212127,0.9485,3.15E-05,0.20895,-6.572,0.13515,98.986,0.2719,38,0,1
british black metal,0.0013353,0.40275,378683.75,0.94975,0.199202315,0.111675,-3.78975,0.122325,129.14825,0.15345,48,2,0
melodic thrash,0.001359901,0.344896536,268647.9245,0.951445381,0.094498668,0.175497019,-5.188336142,0.116022331,146.9355921,0.331977466,42.54291511,7,1
deep g funk,0.0014,0.7,255686.5,0.7665,1.10E-05,0.2492,-4.782,0.15535,127.3455,0.6345,35,1,0
virginia metal,0.001487941,0.38238254,208697.0794,0.914433333,0.125272056,0.285586032,-5.211452381,0.118437778,112.4515714,0.397082222,41.51904762,2,1
melbourne indie,0.00149,0.443,312227,0.737,0.0032,0.121,-4.509,0.0293,115.277,0.746,57,0,1
buffalo ny metal,0.001502186,0.291196429,206571.4821,0.974142857,0.356075354,0.180189286,-6.003696429,0.109560714,118.8725179,0.326207143,42.94642857,2,1
uk noise rock,0.00157,0.452,111360,0.878,0,0.246,-6.61,0.26,91.492,0.485,40,10,0
emocore,0.001688722,0.345666667,196793.6389,0.897194444,0.236018125,0.245194444,-6.397416667,0.068736111,116.0993333,0.374055556,32.38888889,9,1
melodic groove metal,0.001767805,0.343090909,283595.5455,0.941,0.020157332,0.123518182,-5.909727273,0.148340909,144.4608636,0.2907,51.27272727,7,1
power thrash,0.001848275,0.34875,311290,0.887,0.03068225,0.198475,-9.28175,0.068375,121.83275,0.18,43.5,11,1
spanish techno,0.0019011,0.8045,393685,0.6965,0.8675,0.09945,-6.611,0.11635,124.998,0.472,0,2,1
symphonic black metal,0.001925411,0.250752778,325514.2583,0.903980556,0.586140941,0.224486944,-6.621508333,0.099599722,121.9441028,0.165032778,42.46666667,11,1
finnish power metal,0.001948028,0.435416667,287407.3333,0.848666667,0.04678715,0.149616667,-5.660666667,0.052133333,118.3896667,0.377866667,47.08333333,5,0
alabama metal,0.002136,0.435,190191,0.88,7.37E-07,0.154066667,-3.451,0.060966667,110.2596667,0.465333333,45.66666667,6,1
metallic hardcore,0.00214,0.533,243760,0.899,5.32E-06,0.0965,-4.63,0.085,115.013,0.184,46,11,1
indie emo,0.00221,0.669,236336,0.642,0.834,0.203,-9.004,0.0515,115.973,0.838,55,5,1
german post-hardcore,0.00224,0.713,239267,0.855,3.00E-06,0.342,-5.544,0.0365,103.116,0.818,35,6,1
funky breaks,0.002273565,0.701,240720,0.817,0.42651,0.127,-9.374,0.045,133.931,0.7275,38.5,1,1
orebro indie,0.00229,0.198,449947,0.756,0.715,0.16,-7.04,0.0518,121.924,0.246,48,1,1
norwegian black metal,0.002375171,0.210541667,324875.9833,0.906183333,0.632159167,0.240013333,-6.939425,0.100653333,120.247475,0.150965,43.25,7,1
deep melodic metalcore,0.00254,0.53,243939,0.907,3.91E-05,0.1,-3.066,0.0589,109.997,0.264,52,8,1
deep uplifting trance,0.0025545,0.781,248709.5,0.809,0.417,0.401,-5.7425,0.203,124.0335,0.645,1,11,0
jordanian pop,0.00262,0.725,247933,0.874,0.000412,0.0958,-3.715,0.0396,127.985,0.748,66,0,0
mathcore,0.002677787,0.356607143,209146.5595,0.931285714,0.002311538,0.246235714,-4.847464286,0.15452619,129.9755357,0.262261905,43.29761905,9,1
italian power metal,0.0026885,0.4185,274033.5,0.9155,0.0010606,0.2725,-3.8225,0.03915,92.493,0.368,52.5,0,0
vegan straight edge,0.002714938,0.508375,197421.6667,0.817,0.087824217,0.155666667,-7.494125,0.0913375,128.1167917,0.444791667,39.83333333,11,1
danish metal,0.002832498,0.383222826,300032.5367,0.861091033,0.32838716,0.236337092,-9.484298913,0.068032745,120.774466,0.3567125,41.796875,7,1
deep minimal techno,0.00283555,0.80725,396842.5,0.71225,0.86475,0.102725,-6.917,0.104525,125.4955,0.5885,0,2,1
albanian pop,0.00287,0.683,187106,0.665,0,0.0839,-8.405,0.0499,127.968,0.667,40,8,0
instrumental math rock,0.00296,0.432,172437,0.664,0.758,0.117,-7.281,0.0363,196.083,0.277,49,9,0
slayer,0.002979922,0.459096154,228014.3846,0.902923077,0.174557859,0.184105769,-4.933365385,0.073332692,130.9660769,0.370621154,48.15384615,4,1
gymcore,0.003041243,0.468023292,217171.0047,0.905659938,0.009653341,0.18920735,-4.361500518,0.080196998,130.2556014,0.457366977,51.8121118,1,1
deep gothic post-punk,0.00306,0.521,478493,0.82,0.707,0.102,-7.497,0.032,144.011,0.429,40,1,1
essex indie,0.00306,0.521,478493,0.82,0.707,0.102,-7.497,0.032,144.011,0.429,40,1,1
norwegian metal,0.003164362,0.220388889,341583.1111,0.904777778,0.550345556,0.274977778,-6.119833333,0.103711111,120.7571667,0.143066667,43.33333333,3,1
dakke dak,0.003215,0.734,243758,0.8185,0.0024265,0.0906,-6.561,0.045,144.003,0.606,55.5,11,0
american metalcore,0.003246733,0.389,238115.6667,0.971,0.000346333,0.2109,-4.268,0.254333333,159.296,0.251333333,42.33333333,9,0
classic hardstyle,0.003503333,0.655666667,217487,0.965666667,0.015866667,0.239433333,-3.492666667,0.103,127.973,0.446,56,5,0
gaian doom,0.00352,0.321,384867,0.662,0.503,0.105,-10.374,0.0349,117.853,0.199,44,5,1
acid trance,0.0035355,0.557,216060,0.925,0.7765,0.152,-7.128,0.04235,134.8435,0.6395,56,2,1
deep acoustic pop,0.00357,0.419,214333,0.734,2.32E-05,0.243,-7.841,0.0294,130.783,0.729,36,7,1
miami metal,0.00365212,0.5398,212582.6,0.8654,0.0455344,0.2244,-4.3214,0.05826,98.587,0.4572,53.2,5,0
psychedelic trance,0.00371,0.654,440267,0.823,0.431,0.186,-5.768,0.0662,144.995,0.631,45,11,0
deep indie singer-songwriter,0.00374,0.436,330400,0.922,0.000413,0.253,-3.279,0.0627,150.151,0.0928,53,11,0
hard alternative,0.004002685,0.445944928,221596.7145,0.89707971,0.019712,0.193605942,-4.471885507,0.082748986,136.950687,0.459023188,47.09130435,5,1
canadian hardcore,0.004168333,0.386,298980,0.924166667,0.282117683,0.208666667,-6.721666667,0.0735,113.956,0.441833333,42.5,1,1
swedish hardcore,0.0044,0.651,288813.3333,0.741,0.003773433,0.175433333,-8.741,0.0895,125.6333333,0.533333333,48.66666667,9,1
swedish post-hardcore,0.0044,0.651,288813.3333,0.741,0.003773433,0.175433333,-8.741,0.0895,125.6333333,0.533333333,48.66666667,9,1
jazz metal,0.004601053,0.382214286,327094.2143,0.886285714,0.509729143,0.314235714,-7.049357143,0.075957143,139.277,0.282985714,40.57142857,2,1
punk rock italiano,0.00502,0.485,163687,0.951,1.96E-06,0.376,-4.119,0.104,103.274,0.374,0,7,1
christian dance,0.00535,0.686,209440,0.915,4.70E-06,0.0672,-4.13,0.0972,140.982,0.517,50,2,0
indie shoegaze,0.005478,0.458,306087,0.642,0.5745,0.2405,-11.845,0.065,128.1575,0.554,41.5,11,1
russian dance,0.00561,0.653,198095,0.945,0.915,0.439,-2.634,0.0959,126.091,0.326,85,5,1
blues latinoamericano,0.0057,0.316,273261,0.937,0.00294,0.131,-8.318,0.0842,149.546,0.471,48,10,0
gothenburg metal,0.006082247,0.399791667,235552.0833,0.934895833,0.373875949,0.442416667,-5.583229167,0.084052083,128.7040417,0.304522917,51.20833333,7,1
brazilian metal,0.006374709,0.374666667,262085.5417,0.93975,0.119565042,0.161641667,-6.187083333,0.121158333,118.66575,0.2190125,42.95833333,11,1
brazilian thrash metal,0.006374709,0.374666667,262085.5417,0.93975,0.119565042,0.161641667,-6.187083333,0.121158333,118.66575,0.2190125,42.95833333,11,1
neo-trad metal,0.006628171,0.2881875,258891.0625,0.8908125,0.051733712,0.2436875,-6.656875,0.0990625,148.807875,0.3511125,37.5625,0,1
j-metal,0.006967081,0.429583333,271855.1667,0.9014375,0.017780094,0.18168125,-4.980375,0.101702083,138.37025,0.440841667,47.27083333,11,1
southern metal,0.007466512,0.468833333,246113.1667,0.81425,0.278030071,0.151791667,-5.690833333,0.076175,119.5950833,0.504458333,43.29166667,7,1
malmo indie,0.00768,0.611,247572,0.742,0.831,0.232,-7.402,0.0445,103.039,0.343,50,7,1
irish electronic,0.00771,0.828,347160,0.419,2.17E-06,0.0894,-18.303,0.139,92.322,0.929,46,0,1
japanese power metal,0.007737788,0.35725,290422.0833,0.90075,0.008440468,0.157908333,-4.615166667,0.128141667,156.9221667,0.4032,46.16666667,11,1
argentine punk,0.008,0.641,234610.25,0.58175,0.007193325,0.2873,-11.029,0.042525,126.53275,0.543,51.75,6,1
black 'n' roll,0.008001925,0.204,395720,0.9995,0.22752,0.2795,-5.1275,0.1375,142.225,0.02785,41,11,1
blackened crust,0.008001925,0.204,395720,0.9995,0.22752,0.2795,-5.1275,0.1375,142.225,0.02785,41,11,1
norwegian death metal,0.008001925,0.204,395720,0.9995,0.22752,0.2795,-5.1275,0.1375,142.225,0.02785,41,11,1
bubble trance,0.008045333,0.613833333,251124.5,0.908,0.454266667,0.174666667,-7.729833333,0.043016667,134.5723333,0.509166667,53.66666667,10,0
indie rockism,0.008384933,0.5718,204169.3333,0.835633333,4.96E-05,0.193226667,-4.0343,0.040833333,115.7603333,0.625466667,58.66666667,7,1
neue deutsche harte,0.008464149,0.570764706,313954.1961,0.775673203,0.317920996,0.275116993,-8.387718954,0.044047712,122.4675556,0.370191503,46.95424837,2,1
latincore,0.00885,0.568,313933,0.734,1.29E-06,0.162,-4.108,0.0279,99.993,0.642,62,10,1
mexican pop punk,0.00885,0.568,313933,0.734,1.29E-06,0.162,-4.108,0.0279,99.993,0.642,62,10,1
circuit,0.00903,0.745,189818,0.972,0.465,0.297,-3.506,0.0774,128.031,0.556,82,7,1
guaracha,0.00903,0.745,189818,0.972,0.465,0.297,-3.506,0.0774,128.031,0.556,82,7,1
hardcore,0.009268461,0.40155463,161843.1847,0.885746296,0.075546251,0.26998625,-7.275173611,0.104474583,119.8109968,0.410988981,37.44027778,1,1
japanese metalcore,0.00932625,0.29975,229616.75,0.966,0.002910625,0.28675,-1.5115,0.1704,156.6515,0.384,57.25,7,1
north carolina emo,0.009564289,0.402833333,230843.2778,0.798722222,0.0177388,0.185166667,-6.896666667,0.07325,144.8938333,0.326555556,52.72222222,11,1
free folk,0.00961,0.639,294867,0.669,0.912,0.162,-7.532,0.0553,82.004,0.609,38,11,1
street punk,0.0097675,0.32125,172926.5,0.8875,0.08198025,0.1453,-5.90775,0.0895,147.61,0.57275,26,6,1
danish hip hop,0.009915,0.889,231582,0.6045,0.0434,0.0555,-6.9605,0.177,125.999,0.445,48.5,7,1
german alternative rock,0.0101335,0.496,232557.5,0.785,0.019913425,0.16115,-5.35025,0.05385,113.27725,0.33375,51,4,1
indian edm,0.01018225,0.72875,217478.5,0.74525,0.1466275,0.111325,-7.11125,0.0551,114.0585,0.27925,50.75,11,0
japanese heavy metal,0.010432,0.397222222,369534.7778,0.745333333,0.282837856,0.155688889,-8.359,0.091033333,143.338,0.353566667,33.77777778,11,0
hamburg electronic,0.01059,0.7,296000,0.829,0.0398215,0.1511,-7.594,0.0497,122.87,0.648,59,3,0
argentine hardcore,0.01081,0.69,239713.5,0.6535,0.01150665,0.3726,-9.742,0.05555,109.5345,0.655,45.5,6,1
finnish hard rock,0.010816667,0.451666667,226577.6667,0.811,0.0082105,0.187466667,-9.586666667,0.049966667,128.437,0.679,32.66666667,2,1
turkish trap,0.011005,0.6635,327800,0.803,7.07E-06,0.5059,-6.9435,0.0741,133.2715,0.416,37,2,1
fidget house,0.011354333,0.662833333,218986.8333,0.725666667,0.3111375,0.230883333,-5.9555,0.150075,137.5543333,0.576833333,50.83333333,11,0
straight edge,0.01152981,0.393479649,144237.3784,0.874452281,0.178045373,0.259274842,-8.122017368,0.097330737,119.1169898,0.414484561,33.59684211,1,1
louisiana metal,0.011936872,0.39,316014.2593,0.789962963,0.263693326,0.100037037,-7.61737037,0.092533333,124.2407778,0.424074074,34.48148148,2,1
deep freestyle,0.01308,0.74425,251333.5,0.643,0.1680725,0.0961,-10.57125,0.05025,118.83425,0.76475,32.75,7,1
swedish metalcore,0.0132,0.175,237867,0.902,0,0.324,-4.343,0.12,179.957,0.153,46,2,0
chicago hardcore,0.013212404,0.343032828,223431.6212,0.90655303,0.080799763,0.218731818,-7.612467172,0.069206061,125.0286869,0.484065657,38.63131313,11,0
gothic alternative,0.0132525,0.53425,193897.75,0.83425,0,0.20805,-4.9385,0.065225,118.9975,0.66425,49.75,6,1
neue deutsche todeskunst,0.013461833,0.566833333,374136.6667,0.6495,0.102835,0.284333333,-12.272,0.031616667,129.0205,0.5575,42.16666667,11,1
deathstep,0.014055375,0.522125,223260.875,0.958375,0.264649688,0.240625,-2.058375,0.0790625,133.504625,0.35075,59.75,6,0
rochester ny indie,0.0145618,0.7905,233465.6,0.6845,0.023048,0.1149,-6.2315,0.04224,112.6695,0.7977,56.8,6,1
celtic metal,0.0147078,0.448571429,270862.7143,0.894142857,0.001259331,0.268707143,-4.802142857,0.07535,118.9290714,0.393857143,57.35714286,7,0
deep new wave,0.014736667,0.665833333,263540.1667,0.693166667,0.059985222,0.185233333,-9.590666667,0.046933333,130.8346667,0.7595,30.5,2,1
latin ska,0.01502,0.6125,213400,0.8705,8.05E-06,0.06525,-5.274,0.0751,140.8815,0.8395,56.5,11,1
tribal house,0.01525414,0.7608,371036.7333,0.7768,0.357508027,0.12752,-8.810866667,0.0775,134.2216333,0.649433333,45.13333333,7,0
austin hip hop,0.0153,0.902,191975,0.472,0,0.0539,-6.802,0.469,140.046,0.65,60,1,1
german metal,0.015534104,0.367951757,293898.5035,0.863295197,0.12421297,0.224482179,-8.225043689,0.077925027,129.2338128,0.327898576,43.61077403,11,1
musique peule,0.016,0.478,266931,0.704,0,0.09,-8.271,0.0471,149.903,0.228,56,1,0
new beat,0.016204698,0.739583333,258845.5,0.8575,0.296930872,0.179525,-7.366666667,0.052916667,123.9803333,0.659166667,40.75,2,1
nu-metalcore,0.016403071,0.462103158,215627.0516,0.932026316,0.064994945,0.191296421,-3.963593684,0.109926526,132.7669189,0.321340526,51.49789474,11,1
zimdancehall,0.0166,0.766,174893,0.881,2.30E-06,0.347,-5.158,0.137,112.027,0.674,66,9,0
welsh indie,0.01676725,0.511,312073.25,0.8175,0.077087628,0.36975,-5.6415,0.11235,133.15075,0.54875,48.5,2,1
idol rock,0.016984602,0.434225,226182.225,0.91585,6.21E-05,0.1862325,-3.806225,0.0957825,154.512725,0.57715,50.875,11,1
experimental house,0.017,0.929,237231,0.572,0.00353,0.122,-6.928,0.0506,128.014,0.288,67,6,0
italo house,0.017564286,0.720857143,302901.8571,0.794857143,0.185161471,0.081171429,-7.556571429,0.044571429,115.6221429,0.857428571,49.28571429,5,0
pinoy pop punk,0.0176,0.604,284987,0.756,0,0.106,-4.85,0.0352,120.436,0.308,57,2,1
argentine metal,0.0185,0.62,293360,0.816,0.00741,0.0984,-6.208,0.222,179.992,0.668,49,1,1
vegas indie,0.018691697,0.520433333,222281.1667,0.778566667,0.030167011,0.161665,-6.631733333,0.065645,145.0142167,0.493216667,55.91666667,7,1
okinawan pop,0.01885525,0.481,219248.25,0.9195,0.022765,0.284,-3.761,0.06055,123.17975,0.6335,59.25,7,1
swiss rock,0.0195044,0.4906,274755.5333,0.706466667,0.304407089,0.23376,-11.66573333,0.0415,127.0308667,0.595333333,33.6,9,1
northern irish indie,0.02028384,0.552666667,209353.8,0.8,0.026803739,0.166473333,-5.1972,0.085573333,138.5288,0.576533333,53.26666667,2,1
garage punk,0.020603765,0.44042381,165698.9619,0.848010714,0.395038302,0.187125714,-4.222485714,0.076959881,125.7390571,0.474072619,32.68928571,4,1
zapstep,0.02112128,0.5234,239159.5,0.8922,0.30933283,0.26573,-3.6198,0.21272,134.0633,0.34,54.9,2,1
dutch trance,0.0215042,0.627,210215,0.855,0.357191293,0.185,-6.4667,0.05808,134.9804,0.3307,55.6,3,0
darksynth,0.02177,0.543,266721.75,0.7805,0.8085,0.1654,-6.74175,0.0368,103.24,0.13895,54,2,1
dc hardcore,0.02203594,0.391980384,138256.7487,0.814843627,0.336726001,0.244698734,-9.940978399,0.109150504,124.0472125,0.464192421,30.48830688,7,1
dub poetry,0.0221646,0.772533333,250101.7333,0.5906,0.01152036,0.100893333,-10.92586667,0.244866667,145.3056,0.642733333,41.46666667,10,0
canadian punk,0.0225909,0.509583098,219155.5599,0.844050764,0.129372006,0.240478066,-5.445108402,0.06412032,133.2594033,0.594499902,46.19185551,10,1
groove metal,0.022883434,0.407328375,257978.8918,0.890899121,0.191376188,0.208751333,-6.233145026,0.099489174,125.3908783,0.362853404,43.34375167,11,1
